study,cohens_d,cohens_d_var
Butler et al. 2017,2.440159525276285,0.06342899322180266
Butler et al. 2017,1.5412177577094963,0.04716069171217767
Butler et al. 2017,1.1511530629039428,0.042387060791968766
Imperio et al. 2013,2.122606939216193,0.20842433697347892
Imperio et al. 2013,2.122606939216193,0.20842433697347892
Imperio et al. 2013,2.122606939216193,0.20842433697347892
Imperio et al. 2013,2.122606939216193,0.20842433697347892
Imperio et al. 2013,2.122606939216193,0.20842433697347892
Imperio et al. 2013,2.122606939216193,0.20842433697347892
Imperio et al. 2013,2.148126061191733,0.2102407595795185
Imperio et al. 2013,2.148126061191733,0.2102407595795185
Imperio et al. 2013,2.148126061191733,0.2102407595795185
Imperio et al. 2013,2.148126061191733,0.2102407595795185
Imperio et al. 2013,2.148126061191733,0.2102407595795185
Imperio et al. 2013,2.148126061191733,0.2102407595795185
Imperio et al. 2013,2.101524157721952,0.20694006309148266
Imperio et al. 2013,2.335651598518501,0.2242544731610338
Imperio et al. 2013,2.1794999736215055,0.21250366891693573
Imperio et al. 2013,2.1794999736215055,0.21250366891693573
Imperio et al. 2013,2.368481659759472,0.2268284228769497
Varela et al. 2015,1.0075827963870223,0.016511397603617382
Mayhew et al. 2008,2.4129162172206735,0.2658108590639716
Mayhew et al. 2008,3.3879129128501466,0.37457603663570704
Mayhew et al. 2008,1.2201571362002352,0.18247660455808384
Mayhew et al. 2008,2.7908726006439375,0.3036340360197126
Mayhew et al. 2008,2.538078669972836,0.2777277564417515
Mayhew et al. 2008,2.8952043897309463,0.3150424703522566
Mayhew et al. 2008,0.0558691423557472,0.15390618002053014
Mayhew et al. 2008,1.39583226588889,0.19131437912493293
Mayhew et al. 2008,1.4930080791450402,0.19671294469985312
Mayhew et al. 2008,2.4567226312771355,0.2699131939813318
Mayhew et al. 2008,3.7387521202118426,0.4226589887767028
Mayhew et al. 2008,2.4567226312771355,0.2699131939813318
Mayhew et al. 2008,3.7387521202118426,0.4226589887767028
Griebeler & Gottschalk 2000,2.4731374692746124,0.5881837059137514
Griebeler & Gottschalk 2000,2.6975185641547266,0.6365252668316408
Griebeler & Gottschalk 2000,0.7389054308915131,0.3560825514917072
Griebeler & Gottschalk 2000,0.7182224498214507,0.3548268119761469
Griebeler & Gottschalk 2000,0.8205814426907001,0.36138974600368123
Griebeler & Gottschalk 2000,1.1081534335798755,0.38450016801478615
"Mathes, van Dijk, et al. 2021",0.09943217927984409,2.0676854600575743
"Mathes, van Dijk, et al. 2021",0.07092765935476159,0.5983976201137705
"Mathes, van Dijk, et al. 2021",0.22882345885347163,0.21994585216512744
"Mathes, van Dijk, et al. 2021",0.04518156710133767,0.5591640526096285
"Mathes, van Dijk, et al. 2021",0.10014993260628952,5.448746104554929
"Mathes, van Dijk, et al. 2021",0.01901071046613563,0.7795433427726352
"Mathes, van Dijk, et al. 2021",3.878276405330587,0.9934203093590549
"Mathes, van Dijk, et al. 2021",0.34866669323615707,0.7867171368077917
"Mathes, van Dijk, et al. 2021",0.11809373928665377,4.615524620180163
"Mathes, van Dijk, et al. 2021",0.0642215966301954,6.541064195836366
"Mathes, van Dijk, et al. 2021",0.20226784582814542,0.24621874488147938
"Mathes, van Dijk, et al. 2021",0.08115284335684447,0.5291766016961638
"Mathes, van Dijk, et al. 2021",0.08603046008589485,7.8298866912024625
"Mathes, van Dijk, et al. 2021",0.04086173250673633,0.6799664016249515
"Mathes, van Dijk, et al. 2021",4.037389911011073,1.7780720822034328
"Mathes, van Dijk, et al. 2021",0.2837776884200394,0.9781221134861383
